iter	Passed	Remaining
0	164	164706
1	173	86444
2	178	59343
3	185	46167
4	190	37992
5	197	32672
6	202	28779
7	208	25865
8	214	23660
9	220	21820
10	225	20301
11	232	19134
12	237	18063
13	243	17155
14	250	16418
15	255	15701
16	261	15109
17	267	14570
18	272	14061
19	278	13655
20	285	13292
21	290	12917
22	297	12629
23	303	12325
24	308	12019
25	316	11866
26	322	11622
27	328	11418
28	334	11211
29	340	10999
30	346	10845
31	352	10666
32	357	10490
33	364	10351
34	369	10192
35	376	10070
36	382	9951
37	387	9810
38	394	9712
39	399	9598
40	405	9484
41	412	9401
42	417	9298
43	423	9196
44	430	9137
45	436	9048
46	443	8990
47	448	8901
48	454	8821
49	462	8791
50	468	8710
51	475	8660
52	481	8598
53	486	8525
54	493	8486
55	499	8422
56	505	8358
57	512	8327
58	518	8265
59	525	8229
60	531	8180
61	537	8132
62	544	8101
63	550	8057
64	558	8032
65	564	7994
66	572	7974
67	578	7934
68	585	7894
69	592	7870
70	597	7823
71	605	7799
72	611	7765
73	617	7726
74	625	7712
75	631	7677
76	638	7653
77	645	7626
78	651	7591
79	658	7571
80	663	7533
81	670	7509
82	676	7475
83	682	7437
84	689	7420
85	694	7384
86	700	7348
87	707	7331
88	712	7297
89	719	7273
90	754	7535
91	763	7535
92	774	7551
93	781	7533
94	788	7510
95	793	7473
96	800	7453
97	806	7424
98	811	7388
99	818	7363
100	823	7333
101	829	7302
102	836	7288
103	842	7257
104	847	7226
105	854	7210
106	860	7181
107	867	7164
108	873	7139
109	878	7109
110	885	7092
111	890	7063
112	896	7034
113	903	7022
114	909	6996
115	915	6978
116	921	6954
117	926	6928
118	933	6913
119	939	6886
120	944	6861
121	951	6845
122	956	6819
123	961	6794
124	968	6781
125	974	6757
126	980	6743
127	986	6720
128	991	6697
129	998	6681
130	1003	6658
131	1008	6634
132	1015	6621
133	1021	6598
134	1026	6575
135	1033	6564
136	1038	6542
137	1045	6527
138	1050	6508
139	1055	6486
140	1062	6474
141	1068	6454
142	1073	6432
143	1079	6419
144	1085	6399
145	1090	6378
146	1097	6365
147	1102	6345
148	1107	6325
149	1114	6316
150	1120	6298
151	1126	6286
152	1132	6270
153	1137	6251
154	1144	6240
155	1149	6221
156	1155	6202
157	1161	6192
158	1167	6174
159	1172	6155
160	1179	6144
161	1184	6126
162	1189	6108
163	1196	6098
164	1201	6081
165	1208	6070
166	1213	6054
167	1219	6037
168	1225	6028
169	1231	6012
170	1236	5995
171	1243	5984
172	1248	5969
173	1253	5951
174	1260	5942
175	1265	5926
176	1271	5912
177	1278	5904
178	1283	5888
179	1290	5877
180	1295	5863
181	1300	5847
182	1307	5835
183	1312	5820
184	1317	5804
185	1323	5791
186	1328	5775
187	1333	5760
188	1339	5746
189	1344	5731
190	1349	5716
191	1355	5703
192	1360	5688
193	1365	5674
194	1371	5660
195	1376	5646
196	1381	5631
197	1386	5617
198	1392	5603
199	1397	5588
200	1402	5575
201	1407	5561
202	1413	5547
203	1418	5536
204	1424	5523
205	1429	5509
206	1434	5496
207	1440	5483
208	1445	5469
209	1450	5456
210	1455	5443
211	1461	5430
212	1466	5417
213	1471	5405
214	1477	5393
215	1482	5380
216	1487	5368
217	1493	5355
218	1498	5343
219	1503	5331
220	1509	5319
221	1514	5307
222	1519	5296
223	1525	5283
224	1530	5271
225	1535	5259
226	1541	5247
227	1546	5236
228	1551	5224
229	1557	5213
230	1562	5202
231	1568	5191
232	1573	5180
233	1579	5168
234	1584	5158
235	1589	5146
236	1595	5135
237	1600	5124
238	1605	5112
239	1610	5101
240	1616	5090
241	1621	5079
242	1626	5067
